Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
28,CA-2015-538548,05/05/2015,10/05/2015,Same Day,DD-99795,Customer DD-99795,Corporate,United States,Los Angeles,New York,19908,East,FUR-FU-47330631,Furniture,Furnishings,Furnishings Item 75,296.26
29,CA-2015-514261,22/12/2015,23/12/2015,Same Day,BB-42630,Customer BB-42630,Corporate,United States,Chicago,Illinois,44508,East,TEC-MA-44727202,Technology,Machines,Machines Item 78,336.6
30,CA-2016-390434,20/09/2016,26/09/2016,Standard Class,AA-98978,Customer AA-98978,Corporate,United States,San Francisco,Illinois,79304,Central,TEC-CO-37007657,Technology,Copiers,Copiers Item 86,523.33
31,CA-2016-601264,14/10/2016,20/10/2016,Standard Class,DD-85712,Customer DD-85712,Consumer,United States,San Francisco,Illinois,49824,Central,OFF-BI-22035926,Office Supplies,Binders,Binders Item 86,68.26
32,CA-2018-258863,01/12/2018,06/12/2018,First Class,CC-12087,Customer CC-12087,Consumer,United States,New York City,Illinois,79197,Central,OFF-PA-71626772,Office Supplies,Paper,Paper Item 67,289.02
33,CA-2016-889838,18/04/2016,21/04/2016,Same Day,CC-64888,Customer CC-64888,Consumer,United States,Seattle,Washington,89560,South,FUR-TA-64772833,Furniture,Tables,Tables Item 74,46.02
34,CA-2018-465732,04/09/2018,05/09/2018,First Class,DD-79583,Customer DD-79583,Corporate,United States,New York City,Illinois,18750,Central,TEC-CO-26314920,Technology,Copiers,Copiers Item 64,1422.85
35,CA-2018-278908,20/10/2018,24/10/2018,Standard Class,DD-49198,Customer DD-49198,Home Office,United States,Chicago,California,31338,West,OFF-AP-90930093,Office Supplies,Appliances,Appliances Item 25,89.03
36,CA-2016-270084,05/02/2016,07/02/2016,Same Day,BB-68747,Customer BB-68747,Consumer,United States,New York City,California,90042,South,FUR-CH-93301690,Furniture,Chairs,Chairs Item 33,311.83
37,CA-2016-558906,19/02/2016,20/02/2016,Same Day,DD-64407,Customer DD-64407,Consumer,United States,Philadelphia,Washington,57761,East,FUR-FU-59966014,Furniture,Furnishings,Furnishings Item 94,446.14
38,CA-2018-931945,30/12/2018,04/01/2019,Second Class,AA-40229,Customer AA-40229,Consumer,United States,Philadelphia,Illinois,38063,East,TEC-MA-43862209,Technology,Machines,Machines Item 14,457.51
39,CA-2017-310753,17/11/2017,21/11/2017,Standard Class,CC-85701,Customer CC-85701,Corporate,United States,New York City,California,43652,South,FUR-FU-19880135,Furniture,Furnishings,Furnishings Item 56,364.03
40,CA-2018-356688,24/10/2018,30/10/2018,Same Day,CC-43025,Customer CC-43025,Consumer,United States,New York City,Texas,15942,West,TEC-PH-24544675,Technology,Phones,Phones Item 65,1327.15
41,CA-2018-989731,15/03/2018,21/03/2018,Second Class,AA-67094,Customer AA-67094,Consumer,United States,Chicago,California,17139,Central,OFF-BI-11021932,Office Supplies,Binders,Binders Item 69,159.3
42,CA-2016-208708,04/12/2016,08/12/2016,Second Class,BB-89307,Customer BB-89307,Consumer,United States,Seattle,Texas,68420,West,FUR-BO-84242187,Furniture,Bookcases,Bookcases Item 26,1050.04
43,CA-2018-220388,12/11/2018,16/11/2018,First Class,CC-82970,Customer CC-82970,Corporate,United States,New York City,Washington,46132,Central,FUR-TA-64326402,Furniture,Tables,Tables Item 90,781.92
44,CA-2015-531407,27/05/2015,29/05/2015,Same Day,DD-90027,Customer DD-90027,Corporate,United States,New York City,Texas,28799,West,FUR-BO-47048714,Furniture,Bookcases,Bookcases Item 23,33.99
45,CA-2016-246174,04/11/2016,05/11/2016,Standard Class,AA-43951,Customer AA-43951,Home Office,United States,Chicago,Illinois,18103,South,FUR-TA-49497537,Furniture,Tables,Tables Item 46,374.38
46,CA-2015-858159,21/03/2015,23/03/2015,Standard Class,CC-93035,Customer CC-93035,Consumer,United States,Los Angeles,Washington,87535,Central,TEC-PH-95276273,Technology,Phones,Phones Item 17,488.9
47,CA-2018-215214,05/02/2018,10/02/2018,Same Day,AA-97863,Customer AA-97863,Consumer,United States,San Francisco,California,78319,Central,FUR-CH-13019061,Furniture,Chairs,Chairs Item 15,474.02
48,CA-2015-481655,06/07/2015,12/07/2015,Same Day,BB-27789,Customer BB-27789,Home Office,United States,San Francisco,Washington,97954,West,TEC-PH-77627177,Technology,Phones,Phones Item 49,880.66
49,CA-2015-610916,08/11/2015,11/11/2015,Same Day,CC-57322,Customer CC-57322,Home Office,United States,San Francisco,New York,49293,South,FUR-BO-44929007,Furniture,Bookcases,Bookcases Item 89,626.78
50,CA-2015-289353,06/03/2015,08/03/2015,Second Class,DD-32895,Customer DD-32895,Home Office,United States,Los Angeles,Illinois,51044,South,FUR-TA-85775173,Furniture,Tables,Tables Item 29,599.54
51,CA-2016-784285,23/03/2016,28/03/2016,Standard Class,CC-60675,Customer CC-60675,Corporate,United States,Seattle,Texas,78893,East,FUR-TA-24048930,Furniture,Tables,Tables Item 82,364.98
52,CA-2016-548511,04/10/2016,07/10/2016,First Class,BB-81949,Customer BB-81949,Consumer,United States,Houston,Illinois,69366,South,TEC-MA-82343533,Technology,Machines,Machines Item 33,636.87
53,CA-2016-695011,27/11/2016,29/11/2016,First Class,CC-27636,Customer CC-27636,Corporate,United States,Philadelphia,Washington,33890,West,OFF-FA-24286044,Office Supplies,Fasteners,Fasteners Item 37,231.07
54,CA-2018-938765,06/01/2018,07/01/2018,Second Class,CC-48980,Customer CC-48980,Consumer,United States,San Francisco,California,86908,East,OFF-FA-83311723,Office Supplies,Fasteners,Fasteners Item 9,263.43
55,CA-2018-944619,12/12/2018,18/12/2018,Same Day,DD-39030,Customer DD-39030,Home Office,United States,San Francisco,Texas,44468,Central,TEC-CO-33578580,Technology,Copiers,Copiers Item 6,931.29
56,CA-2018-618857,04/07/2018,09/07/2018,First Class,CC-54732,Customer CC-54732,Home Office,United States,Houston,Pennsylvania,61636,East,TEC-MA-95364378,Technology,Machines,Machines Item 14,448.35
57,CA-2017-268032,18/11/2017,23/11/2017,Standard Class,AA-10719,Customer AA-10719,Home Office,United States,Philadelphia,California,79300,East,TEC-CO-20212729,Technology,Copiers,Copiers Item 20,1471.51
58,CA-2018-727109,29/06/2018,02/07/2018,Same Day,DD-19721,Customer DD-19721,Home Office,United States,Philadelphia,Pennsylvania,24926,West,FUR-FU-32142267,Furniture,Furnishings,Furnishings Item 1,512.24
59,CA-2017-901840,09/08/2017,11/08/2017,Same Day,AA-42647,Customer AA-42647,Corporate,United States,Chicago,Illinois,92514,West,OFF-PA-41751964,Office Supplies,Paper,Paper Item 13,257.49
60,CA-2017-248814,01/06/2017,05/06/2017,Standard Class,BB-16915,Customer BB-16915,Consumer,United States,Philadelphia,Pennsylvania,62350,West,FUR-FU-60306923,Furniture,Furnishings,Furnishings Item 70,508.12
61,CA-2015-937049,05/04/2015,07/04/2015,First Class,AA-69270,Customer AA-69270,Consumer,United States,Los Angeles,Illinois,54505,Central,FUR-CH-94236231,Furniture,Chairs,Chairs Item 65,264.6
62,CA-2017-916753,29/01/2017,30/01/2017,Same Day,BB-46078,Customer BB-46078,Consumer,United States,Houston,Illinois,65896,Central,FUR-FU-61057174,Furniture,Furnishings,Furnishings Item 34,704.13
63,CA-2017-953318,29/10/2017,31/10/2017,Standard Class,DD-51300,Customer DD-51300,Home Office,United States,Philadelphia,Illinois,52034,Central,OFF-BI-29973687,Office Supplies,Binders,Binders Item 54,77.53
64,CA-2017-737833,10/03/2017,12/03/2017,Second Class,CC-60738,Customer CC-60738,Home Office,United States,Seattle,Washington,42697,South,OFF-FA-68359404,Office Supplies,Fasteners,Fasteners Item 80,29.79
65,CA-2017-766694,07/07/2017,10/07/2017,Same Day,BB-47872,Customer BB-47872,Corporate,United States,Houston,California,46881,West,FUR-FU-26608829,Furniture,Furnishings,Furnishings Item 37,407.76
66,CA-2017-985290,13/02/2017,16/02/2017,Same Day,BB-26567,Customer BB-26567,Home Office,United States,Los Angeles,Illinois,34574,West,FUR-BO-61706937,Furniture,Bookcases,Bookcases Item 43,650.53
67,CA-2015-991464,26/03/2015,30/03/2015,First Class,AA-39960,Customer AA-39960,Corporate,United States,Seattle,Texas,31902,East,FUR-BO-37885132,Furniture,Bookcases,Bookcases Item 5,333.5
68,CA-2016-654394,21/07/2016,26/07/2016,Same Day,BB-56420,Customer BB-56420,Consumer,United States,San Francisco,California,94068,Central,TEC-CO-15534231,Technology,Copiers,Copiers Item 79,1030.9
69,CA-2018-605493,11/09/2018,17/09/2018,Standard Class,AA-97665,Customer AA-97665,Consumer,United States,San Francisco,Washington,73338,West,TEC-AC-85658444,Technology,Accessories,Accessories Item 52,555.69
70,CA-2018-262820,07/04/2018,11/04/2018,Second Class,BB-77941,Customer BB-77941,Consumer,United States,Seattle,Pennsylvania,56726,Central,FUR-BO-62433910,Furniture,Bookcases,Bookcases Item 80,708.31
71,CA-2015-855605,02/10/2015,06/10/2015,Standard Class,CC-99330,Customer CC-99330,Home Office,United States,Philadelphia,California,13907,West,FUR-BO-33135036,Furniture,Bookcases,Bookcases Item 36,554.02
72,CA-2018-430568,21/07/2018,24/07/2018,Standard Class,AA-34296,Customer AA-34296,Home Office,United States,Chicago,Illinois,21058,West,OFF-LA-85737291,Office Supplies,Labels,Labels Item 27,136.22
73,CA-2018-973516,15/02/2018,19/02/2018,First Class,AA-41737,Customer AA-41737,Consumer,United States,Los Angeles,Washington,59106,West,FUR-TA-12681747,Furniture,Tables,Tables Item 51,716.74
74,CA-2015-720013,03/09/2015,07/09/2015,First Class,DD-46485,Customer DD-46485,Home Office,United States,Philadelphia,Pennsylvania,22211,Central,TEC-PH-20578534,Technology,Phones,Phones Item 38,63.92
75,CA-2016-369971,07/10/2016,11/10/2016,Second Class,DD-71989,Customer DD-71989,Home Office,United States,Los Angeles,New York,94587,South,OFF-FA-99979829,Office Supplies,Fasteners,Fasteners Item 6,87.88
76,CA-2016-932430,09/05/2016,15/05/2016,First Class,AA-40116,Customer AA-40116,Home Office,United States,Los Angeles,California,71892,Central,OFF-AP-17364677,Office Supplies,Appliances,Appliances Item 56,171.51
77,CA-2017-269729,15/08/2017,16/08/2017,Same Day,AA-35590,Customer AA-35590,Corporate,United States,Seattle,Washington,39997,West,OFF-PA-66936022,Office Supplies,Paper,Paper Item 53,252.45
78,CA-2017-527898,06/06/2017,09/06/2017,Standard Class,DD-49613,Customer DD-49613,Home Office,United States,Houston,Pennsylvania,69442,Central,OFF-FA-51448117,Office Supplies,Fasteners,Fasteners Item 30,22.14
79,CA-2016-892621,03/11/2016,04/11/2016,Same Day,DD-89324,Customer DD-89324,Corporate,United States,Los Angeles,New York,17987,East,TEC-PH-35096152,Technology,Phones,Phones Item 67,1002.69
80,CA-2017-788841,18/06/2017,23/06/2017,Standard Class,CC-67084,Customer CC-67084,Consumer,United States,Chicago,California,53509,West,TEC-CO-77309904,Technology,Copiers,Copiers Item 9,295.96
81,CA-2015-547909,10/08/2015,15/08/2015,Second Class,BB-51283,Customer BB-51283,Corporate,United States,San Francisco,Washington,95047,South,FUR-CH-60754867,Furniture,Chairs,Chairs Item 82,343.19
82,CA-2017-934057,18/07/2017,21/07/2017,Second Class,BB-17102,Customer BB-17102,Consumer,United States,San Francisco,Illinois,78319,West,TEC-PH-25490812,Technology,Phones,Phones Item 40,1160.73
83,CA-2018-489767,01/10/2018,07/10/2018,Second Class,DD-65132,Customer DD-65132,Home Office,United States,Houston,Texas,30100,South,TEC-CO-35991600,Technology,Copiers,Copiers Item 90,824.35
84,CA-2018-548118,17/01/2018,23/01/2018,Standard Class,DD-76566,Customer DD-76566,Home Office,United States,Los Angeles,Pennsylvania,26451,East,FUR-FU-53566632,Furniture,Furnishings,Furnishings Item 13,2338.21
85,CA-2015-574536,05/03/2015,08/03/2015,Standard Class,DD-37344,Customer DD-37344,Corporate,United States,Houston,Illinois,52967,South,FUR-BO-75196137,Furniture,Bookcases,Bookcases Item 99,39.16
86,CA-2016-125820,30/03/2016,01/04/2016,Same Day,CC-75790,Customer CC-75790,Home Office,United States,Seattle,California,35078,West,OFF-BI-92429736,Office Supplies,Binders,Binders Item 48,101.42
87,CA-2015-951600,15/04/2015,19/04/2015,Second Class,AA-19915,Customer AA-19915,Home Office,United States,Chicago,California,82160,South,OFF-AP-78945695,Office Supplies,Appliances,Appliances Item 76,139.1
88,CA-2017-683153,16/02/2017,20/02/2017,Standard Class,DD-75323,Customer DD-75323,Consumer,United States,Philadelphia,Pennsylvania,56090,South,FUR-TA-11589297,Furniture,Tables,Tables Item 42,104.55
89,CA-2017-182090,12/04/2017,13/04/2017,Standard Class,AA-12367,Customer AA-12367,Corporate,United States,Houston,California,47788,South,OFF-PA-38499907,Office Supplies,Paper,Paper Item 26,61.49
90,CA-2017-783436,24/12/2017,26/12/2017,First Class,CC-98658,Customer CC-98658,Consumer,United States,Chicago,Pennsylvania,91310,West,TEC-AC-79643074,Technology,Accessories,Accessories Item 96,1273.98
91,CA-2018-150079,18/12/2018,20/12/2018,Same Day,CC-20945,Customer CC-20945,Home Office,United States,Houston,Texas,91420,South,OFF-AP-62374842,Office Supplies,Appliances,Appliances Item 29,139.15
92,CA-2018-517869,01/09/2018,03/09/2018,Second Class,CC-20243,Customer CC-20243,Corporate,United States,San Francisco,New York,97559,East,OFF-BI-46994854,Office Supplies,Binders,Binders Item 28,123.59
93,CA-2017-982214,09/01/2017,12/01/2017,First Class,AA-16503,Customer AA-16503,Home Office,United States,Philadelphia,California,64634,South,FUR-CH-92125316,Furniture,Chairs,Chairs Item 37,481.25
94,CA-2018-480454,30/04/2018,02/05/2018,Second Class,AA-12292,Customer AA-12292,Corporate,United States,San Francisco,Pennsylvania,79147,West,OFF-LA-50501570,Office Supplies,Labels,Labels Item 35,292.52
95,CA-2016-943712,04/08/2016,09/08/2016,Second Class,CC-20806,Customer CC-20806,Consumer,United States,Los Angeles,Washington,14645,West,FUR-FU-97121606,Furniture,Furnishings,Furnishings Item 35,853.82
96,CA-2016-450859,07/08/2016,08/08/2016,Second Class,AA-45058,Customer AA-45058,Home Office,United States,Chicago,Pennsylvania,88689,West,TEC-PH-59053074,Technology,Phones,Phones Item 25,835.07
97,CA-2016-420639,25/01/2016,26/01/2016,First Class,BB-38430,Customer BB-38430,Consumer,United States,Los Angeles,Pennsylvania,22073,East,OFF-AR-74622877,Office Supplies,Art,Art Item 68,137.1
98,CA-2018-484203,27/04/2018,28/04/2018,First Class,BB-19857,Customer BB-19857,Consumer,United States,Houston,Washington,37750,West,FUR-CH-19870163,Furniture,Chairs,Chairs Item 33,507.13
99,CA-2017-335148,27/07/2017,31/07/2017,Second Class,DD-33567,Customer DD-33567,Home Office,United States,Los Angeles,Texas,19815,Central,FUR-CH-96558774,Furniture,Chairs,Chairs Item 90,186.75
100,CA-2017-840232,06/03/2017,09/03/2017,First Class,CC-72741,Customer CC-72741,Corporate,United States,Los Angeles,Illinois,31755,East,FUR-FU-73813588,Furniture,Furnishings,Furnishings Item 63,176.25
101,CA-2018-452169,05/03/2018,09/03/2018,Second Class,DD-89193,Customer DD-89193,Consumer,United States,Philadelphia,California,19320,South,TEC-PH-26209434,Technology,Phones,Phones Item 50,597.71
102,CA-2017-173849,24/11/2017,28/11/2017,Second Class,CC-26749,Customer CC-26749,Home Office,United States,Philadelphia,Illinois,44565,South,OFF-PA-56101104,Office Supplies,Paper,Paper Item 1,32.46
103,CA-2017-879424,26/06/2017,02/07/2017,Same Day,AA-70313,Customer AA-70313,Corporate,United States,Houston,Illinois,93136,East,TEC-MA-35849092,Technology,Machines,Machines Item 79,1558.39
104,CA-2016-613646,09/01/2016,14/01/2016,First Class,DD-74314,Customer DD-74314,Home Office,United States,New York City,Illinois,65996,West,OFF-FA-96101136,Office Supplies,Fasteners,Fasteners Item 93,28.86
105,CA-2018-778569,12/06/2018,14/06/2018,Standard Class,DD-28011,Customer DD-28011,Consumer,United States,New York City,Illinois,13504,West,TEC-PH-54006528,Technology,Phones,Phones Item 3,665.79
106,CA-2017-485916,31/07/2017,01/08/2017,First Class,AA-41666,Customer AA-41666,Home Office,United States,San Francisco,Washington,59360,South,FUR-FU-87271556,Furniture,Furnishings,Furnishings Item 27,339.01
107,CA-2017-220523,08/10/2017,11/10/2017,First Class,CC-30732,Customer CC-30732,Consumer,United States,Houston,California,95830,South,OFF-AR-51045135,Office Supplies,Art,Art Item 86,74.85
108,CA-2018-873214,06/06/2018,10/06/2018,Second Class,CC-14159,Customer CC-14159,Corporate,United States,Philadelphia,Texas,13708,Central,FUR-TA-88859544,Furniture,Tables,Tables Item 26,541.96
109,CA-2015-527953,13/02/2015,15/02/2015,First Class,DD-91997,Customer DD-91997,Corporate,United States,Los Angeles,New York,14861,East,OFF-AR-45604111,Office Supplies,Art,Art Item 2,35.24
110,CA-2017-456832,17/10/2017,22/10/2017,First Class,CC-62527,Customer CC-62527,Home Office,United States,Los Angeles,Pennsylvania,22041,West,OFF-AR-90253357,Office Supplies,Art,Art Item 26,210.05
111,CA-2015-359368,11/03/2015,17/03/2015,Same Day,DD-88276,Customer DD-88276,Home Office,United States,Houston,New York,46419,West,OFF-AR-24937981,Office Supplies,Art,Art Item 71,30.5
112,CA-2016-369547,24/07/2016,26/07/2016,Same Day,DD-42050,Customer DD-42050,Consumer,United States,Seattle,Texas,82183,South,OFF-PA-80817550,Office Supplies,Paper,Paper Item 49,154.27
113,CA-2018-439569,01/12/2018,07/12/2018,Same Day,DD-20436,Customer DD-20436,Corporate,United States,Houston,New York,35115,South,OFF-LA-44842250,Office Supplies,Labels,Labels Item 43,112.22
114,CA-2017-481612,12/11/2017,17/11/2017,Second Class,DD-96858,Customer DD-96858,Consumer,United States,Philadelphia,Pennsylvania,38933,East,FUR-CH-22746891,Furniture,Chairs,Chairs Item 9,2075.98
115,CA-2017-721405,14/06/2017,16/06/2017,Second Class,DD-29587,Customer DD-29587,Corporate,United States,Chicago,Texas,93445,West,TEC-CO-25974660,Technology,Copiers,Copiers Item 85,363.15
116,CA-2016-682180,13/12/2016,17/12/2016,Same Day,AA-43419,Customer AA-43419,Corporate,United States,Chicago,Pennsylvania,43528,East,OFF-AR-53157838,Office Supplies,Art,Art Item 32,131.14
117,CA-2015-614709,03/05/2015,08/05/2015,Second Class,DD-69145,Customer DD-69145,Corporate,United States,Los Angeles,New York,78526,East,OFF-FA-56973406,Office Supplies,Fasteners,Fasteners Item 87,241.92
118,CA-2015-525143,10/12/2015,12/12/2015,Same Day,DD-16443,Customer DD-16443,Home Office,United States,Seattle,California,44060,East,FUR-FU-42657874,Furniture,Furnishings,Furnishings Item 40,124.25
119,CA-2017-121565,08/12/2017,13/12/2017,First Class,BB-30419,Customer BB-30419,Corporate,United States,San Francisco,Illinois,51895,East,OFF-PA-44935354,Office Supplies,Paper,Paper Item 9,362.41
120,CA-2018-976126,21/04/2018,27/04/2018,Same Day,BB-63138,Customer BB-63138,Consumer,United States,Seattle,Pennsylvania,41821,East,FUR-TA-42325005,Furniture,Tables,Tables Item 23,1279.57
121,CA-2015-133918,14/08/2015,17/08/2015,Second Class,AA-44361,Customer AA-44361,Consumer,United States,Houston,California,72160,Central,TEC-MA-60626425,Technology,Machines,Machines Item 85,137.88
122,CA-2017-386202,08/03/2017,11/03/2017,Same Day,CC-21713,Customer CC-21713,Consumer,United States,New York City,California,98522,East,OFF-PA-23554185,Office Supplies,Paper,Paper Item 21,66.06
123,CA-2018-881758,30/04/2018,01/05/2018,Standard Class,DD-45025,Customer DD-45025,Home Office,United States,Seattle,California,83462,West,TEC-PH-53156412,Technology,Phones,Phones Item 27,1080.88
124,CA-2017-533244,03/01/2017,05/01/2017,Same Day,DD-55362,Customer DD-55362,Home Office,United States,Seattle,Pennsylvania,18409,East,OFF-FA-53438106,Office Supplies,Fasteners,Fasteners Item 76,151.92
125,CA-2018-639528,17/05/2018,23/05/2018,Standard Class,BB-47973,Customer BB-47973,Home Office,United States,Los Angeles,New York,92775,South,FUR-CH-69583784,Furniture,Chairs,Chairs Item 79,203.85
126,CA-2015-649021,09/06/2015,11/06/2015,First Class,CC-21142,Customer CC-21142,Consumer,United States,Houston,Texas,13290,West,OFF-BI-69958885,Office Supplies,Binders,Binders Item 91,63.8
127,CA-2017-626548,31/10/2017,06/11/2017,Same Day,CC-84904,Customer CC-84904,Home Office,United States,Chicago,Washington,95732,West,OFF-LA-61411457,Office Supplies,Labels,Labels Item 91,26.34
128,CA-2015-192038,28/09/2015,30/09/2015,Second Class,AA-94853,Customer AA-94853,Corporate,United States,Houston,Pennsylvania,99912,South,FUR-BO-51076883,Furniture,Bookcases,Bookcases Item 38,414.13
129,CA-2018-770751,21/11/2018,26/11/2018,Second Class,BB-41797,Customer BB-41797,Consumer,United States,New York City,Washington,46162,Central,TEC-AC-69461031,Technology,Accessories,Accessories Item 12,1547.38
130,CA-2017-562036,03/12/2017,04/12/2017,First Class,CC-16742,Customer CC-16742,Corporate,United States,New York City,Washington,31370,East,FUR-CH-35144036,Furniture,Chairs,Chairs Item 38,1248.69
131,CA-2015-246348,04/09/2015,05/09/2015,Same Day,AA-55037,Customer AA-55037,Home Office,United States,Chicago,Texas,62825,Central,TEC-CO-69716312,Technology,Copiers,Copiers Item 98,635.8
132,CA-2016-551088,30/04/2016,02/05/2016,Standard Class,BB-25169,Customer BB-25169,Corporate,United States,New York City,Illinois,11987,East,OFF-LA-26531238,Office Supplies,Labels,Labels Item 91,317.0
133,CA-2017-507990,01/06/2017,03/06/2017,Standard Class,DD-47053,Customer DD-47053,Home Office,United States,Seattle,Texas,75242,South,OFF-FA-34329247,Office Supplies,Fasteners,Fasteners Item 61,157.0
134,CA-2018-251061,13/04/2018,17/04/2018,First Class,CC-37910,Customer CC-37910,Consumer,United States,Chicago,Texas,93826,East,TEC-AC-30769203,Technology,Accessories,Accessories Item 73,2332.73
135,CA-2017-162157,17/05/2017,22/05/2017,Standard Class,AA-29493,Customer AA-29493,Home Office,United States,Chicago,New York,98727,East,TEC-AC-42584972,Technology,Accessories,Accessories Item 14,656.85
